reading,trolling,,,,Baseball jersey,obi spin,,,,,,
sharing,,,,,Baseball uniform,paintball,,,,,,
shopping,Physical Contact,,,,Basketball uniform,playing games,,,,,,
smelling,hugging,,,,Hockey sweater,playing sports,,,,,,
smoking,kissing,,,,Soccer uniform,olympics,,,,,,
pen spinning,handshaking,,,,Tennis uniform,racing,,,,,,
squeezing,cuddling,,,,Baseball bat,scavenger hunt,,,,,,
stacking,comforting,,,,Bowling glove,tug of war,,,,,,
trembling,pinching,,,,Bowling pin,twister,,,,,,
shipping,tickling,,,,Cue stick,,,,,,,
shoplifting,tickling feet,,,,Golf club,Places / Objects,,,,,,
,spanking,,,,Hockey mask,arcade,,,,,,
Balance and Falls,strangling,,,,Hockey puck,card,,,,,,
bouncing,breast clinging,,,,Hockey stick,casino,,,,,,
balancing,petting,,,,Hoop,casino token,,,,,,
falling,stroking,,,,Juggling club,dice,,,,,,
dropping,clinging,,,,Pool table,swing,,,,,,
slipping,necking,,,,Racket,,,,,,,
stumbling,shoulder patting,,,,Badminton racket,,,,,,,
sinking,touching,,,,Table tennis paddle,,,,,,,
,cheek biting,,,,Tennis racket,,,,,,,
Collisions,ear biting,,,,Ribbon,,,,,,,
bumping,head biting,,,,Ribbon baton,,,,,,,
struggling,holding hands,,,,Rope,,,,,,,
crashing,shaking hands,,,,,,,,,,,
colliding,cheek pinching,,,,,,,,,,,
catching,cheek poking,,,,,,,,,,,
,grabbing,,,,,,,,,,,
Postures,pulling,,,,,,,,,,,
standing,pushing,,,,,,,,,,,
sitting,face stretching,,,,,,,,,,,
hanging,straddling,,,,,,,,,,,
dual wielding,,,,,,,,,,,,
crouching,,,,,,,,,,,,
quadruple wielding,,,,,,,,,,,,
sunbathing,,,,,,,,,,,,
lying,,,,,,,,,,,,
reclining,,,,,,,,,,,,
kneeling,,,,,,,,,,,,
squatting,,,,,,,,,,,,
leaning,,,,,,,,,,,,
waiting,,,,,,,,,,,,
cling,,,,,,,,,,,,
pose,,,,,,,,,,,,
,,,,,,,,,,,,
Gestures,,,,,,,,,,,,
aiming,,,,,,,,,,,,
aiming at viewer,,,,,,,,,,,,
pointing at viewer,,,,,,,,,,,,
fanning,,,,,,,,,,,,
patting,,,,,,,,,,,,
beckoning,,,,,,,,,,,,
fanning crotch,,,,,,,,,,,,
fanning face,,,,,,,,,,,,
clapping,,,,,,,,,,,,
stroking own chin,,,,,,,,,,,,
shading eyes,,,,,,,,,,,,
squinting,,,,,,,,,,,,
twitching,,,,,,,,,,,,
flexing,,,,,,,,,,,,
foreshortening,,,,,,,,,,,,
pointing,,,,,,,,,,,,
waving,,,,,,,,,,,,
gesturing,,,,,,,,,,,,
signaling,,,,,,,,,,,,
whistling,,,,,,,,,,,,
blowing,,,,,,,,,,,,
,,,,,,,,,,,,
Looking,,,,,,,,,,,,
looking at viewer,,,,,,,,,,,,
looking away,,,,,,,,,,,,
looking back,,,,,,,,,,,,
looking down,,,,,,,,,,,,
looking up,,,,,,,,,,,,
staring,,,,,,,,,,,,
watching,,,,,,,,,,,,
watching television,,,,,,,,,,,,
